REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUG_STRAT,DEPTH_STRAT,LAT_DEGREES,LON_DEGREES,MAPGRID_NR
Tortugas,1402,1,2022,9,18,CONT_HR,T02,R4,D1,24.58879,-82.90508,336345
Tortugas,1404,1,2022,9,15,CONT_LR,T01,R1,D1,24.644,-82.81897,515439
Tortugas,1406,1,2022,9,15,ISOL_MR,T02,R3,D1,24.65834,-82.80253,565456
Tortugas,1407,1,2022,9,18,CONT_MR,T02,R3,D1,24.5974,-82.87447,362059
Tortugas,1410,1,2022,9,15,CONT_HR,T02,R4,D1,24.63871,-82.81101,498389
Tortugas,1415,1,2022,9,18,SPGR_MR,T02,R3,D1,24.59719,-82.8721,360608
Tortugas,1417,1,2022,9,13,CONT_HR,T02,R4,D1,24.69153,-82.78189,631197
Tortugas,1418,1,2022,9,15,CONT_LR,T01,R1,D1,24.6613,-82.80129,574799
Tortugas,1420,1,2022,9,13,CONT_MR,T01,R2,D1,24.70001,-82.78957,644524
Tortugas,1422,1,2022,9,15,CONT_HR,T02,R4,D1,24.65125,-82.79071,540424
Tortugas,1423,1,2022,9,13,CONT_HR,T02,R4,D1,24.68115,-82.78664,615077
Tortugas,1424,1,2022,9,13,CONT_HR,T02,R4,D1,24.6888,-82.77255,626310
Tortugas,1427,1,2022,9,16,CONT_HR,T02,R4,D1,24.68835,-82.90008,628150
Tortugas,1430,1,2022,9,16,SPGR_MR,T01,R2,D1,24.63246,-82.93625,481149
Tortugas,1432,1,2022,9,16,CONT_MR,T02,R3,D1,24.66718,-82.91318,594305
Tortugas,1433,1,2022,9,15,CONT_HR,T02,R4,D1,24.63693,-82.82173,492179
Tortugas,1434,1,2022,9,15,CONT_HR,T02,R4,D1,24.63984,-82.8175,501475
Tortugas,1437,1,2022,9,18,CONT_HR,T02,R4,D1,24.58166,-82.90652,314305
Tortugas,1438,1,2022,9,17,CONT_HR,T05,R4,D2,24.56785,-82.9123,273853
