REGION,YEAR,PROT,STRAT,NTOT,GRID_SIZE
FLK,2022,0,CS01,6183,50
FLK,2022,0,CS02,50085,50
FLK,2022,0,CS03,9484,50
FLK,2022,0,CS05,32020,50
FLK,2022,0,CS06,3208,50
FLK,2022,0,CS08,11662,50
FLK,2022,0,CS09,2399,50
FLK,2022,0,CS11,62108,50
FLK,2022,0,CS12,14823,50
FLK,2022,0,CS14,18789,50
FLK,2022,0,CS15,13034,50
FLK,2022,0,CS17,35865,50
FLK,2022,1,CS01,556,50
FLK,2022,1,CS02,941,50
FLK,2022,1,CS03,403,50
FLK,2022,1,CS05,1137,50
FLK,2022,1,CS06,325,50
FLK,2022,1,CS08,1636,50
FLK,2022,1,CS09,624,50
FLK,2022,1,CS11,2373,50
FLK,2022,1,CS12,1622,50
FLK,2022,1,CS14,544,50
FLK,2022,1,CS15,724,50
