REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETE,METER,RUG
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,1,0.67
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,2,0.8
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,3,0.35
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,4,0.28
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,5,0.54
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,6,0.6
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,7,0.52
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,8,0.56
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,9,0.55
FLK,1861,1,2022,7,9,CONT_HR,CS03,24.52014,-81.71842,2084875,Lower Keys,8,Mid Channel,2,West_Sambo,20,NA,1,CD0,7.315199766,7.315199766,15,10,0.7
