YEAR,REGION,STRAT,PROT,NTOT,GRID_SIZE,STAGE_LEVEL
2021,SEFCRI,DPRC0,0,30238,50,1
2021,SEFCRI,DPRC1,0,1721,50,1
2021,SEFCRI,INNR0,0,4085,50,1
2021,SEFCRI,INNR1,0,2332,50,1
2021,SEFCRI,MIDR0,0,4677,50,1
2021,SEFCRI,MIDR1,0,1764,50,1
2021,SEFCRI,NEAR0,0,24765,50,1
2021,SEFCRI,NEAR1,0,1583,50,1
2021,SEFCRI,OFFR0,0,4884,50,1
2021,SEFCRI,OFFR1,0,8262,50,1
2021,SEFCRI,PTDP0,0,1607,50,1
2021,SEFCRI,PTDP1,0,2528,50,1
2021,SEFCRI,PTSH2,0,709,50,1
2021,SEFCRI,RGDP0,0,2513,50,1
2021,SEFCRI,RGDP1,0,506,50,1
