REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUG_STRAT,DEPTH_STRAT,LAT_DEGREES,LON_DEGREES,MAPGRID_NR
SEFCRI,3002,1,2022,8,12,DPRC,DPRC0,NA,NA,26.71588,-80.01347,691075
SEFCRI,3005,1,2022,9,16,DPRC,DPRC0,NA,NA,26.71817,-80.01232,687141
SEFCRI,3006,1,2022,8,10,DPRC,DPRC0,NA,NA,26.83021,-80.01202,524452
SEFCRI,3007,1,2022,8,11,DPRC,DPRC0,NA,NA,26.86834,-80.00981,469352
SEFCRI,3008,1,2022,8,10,DPRC,DPRC0,NA,NA,26.82141,-80.01413,537568
SEFCRI,3009,1,2022,8,9,DPRC,DPRC0,NA,NA,26.91339,-79.99548,403779
SEFCRI,3010,1,2022,9,16,DPRC,DPRC0,NA,NA,26.8757,-79.99442,458230
SEFCRI,3012,1,2022,8,11,DPRC,DPRC0,NA,NA,26.86266,-80.00598,477231
SEFCRI,3013,1,2022,8,10,DPRC,DPRC0,NA,NA,26.8299,-80.01169,525109
SEFCRI,3016,1,2022,8,12,DPRC,DPRC0,NA,NA,26.74187,-80.00824,653037
SEFCRI,3019,1,2022,8,9,DPRC,DPRC0,NA,NA,26.90071,-79.99738,422144
SEFCRI,3023,1,2022,8,9,DPRC,DPRC0,NA,NA,26.83404,-80.01663,519195
SEFCRI,3025,1,2022,9,16,DPRC,DPRC0,NA,NA,26.86096,-80.02034,479827
SEFCRI,3026,1,2022,8,11,DPRC,DPRC0,NA,NA,26.87212,-80.01947,464084
SEFCRI,3028,1,2022,8,10,DPRC,DPRC1,NA,NA,26.83561,-80.00484,516594
SEFCRI,3039,1,2022,7,21,LIRI,INNR0,NA,NA,25.94568,-80.10238,1810702
SEFCRI,3047,1,2022,7,21,LIRI,INNR0,NA,NA,25.94491,-80.10333,1812012
SEFCRI,3050,1,2022,7,20,LIRI,INNR0,NA,NA,26.10573,-80.09266,1577839
SEFCRI,3053,1,2022,6,24,LIRI,INNR1,NA,NA,26.11593,-80.09192,1563408
SEFCRI,3057,1,2022,8,12,LIRI,INNR1,NA,NA,25.86087,-80.0996,1934037
SEFCRI,3058,1,2022,7,13,LIRI,INNR1,NA,NA,26.004,-80.10053,1726081
SEFCRI,3060,1,2022,6,29,LIRI,INNR1,NA,NA,26.17592,-80.08735,1476169
SEFCRI,3063,1,2022,6,9,LIRI,INNR1,NA,NA,26.02731,-80.09976,1691970
SEFCRI,3064,1,2022,6,21,LIRI,INNR1,NA,NA,26.12073,-80.0934,1556189
SEFCRI,3065,1,2022,9,14,LIRI,INNR1,NA,NA,25.86444,-80.09903,1928790
SEFCRI,3066,1,2022,6,14,LIRI,INNR1,NA,NA,25.88817,-80.10082,1894018
SEFCRI,3071,1,2022,8,23,LIRI,INNR1,NA,NA,25.98997,-80.10258,1746413
SEFCRI,3074,1,2022,6,28,LIRI,INNR1,NA,NA,25.89657,-80.10129,1882209
SEFCRI,3075,1,2022,8,16,LIRI,INNR1,NA,NA,25.85495,-80.10561,1942553
SEFCRI,3076,1,2022,8,16,LIRI,INNR1,NA,NA,25.88884,-80.10183,1893360
SEFCRI,3078,1,2022,7,13,LIRI,INNR1,NA,NA,26.00755,-80.10138,1720831
SEFCRI,3085,1,2022,6,29,LIRM,MIDR0,NA,NA,26.2212,-80.07683,1409933
SEFCRI,3088,1,2022,6,10,LIRM,MIDR1,NA,NA,26.218,-80.07718,1414524
SEFCRI,3094,1,2022,6,23,LIRM,MIDR0,NA,NA,26.00884,-80.09607,1718874
SEFCRI,3097,1,2022,6,24,LIRM,MIDR1,NA,NA,26.09184,-80.08926,1598182
SEFCRI,3101,1,2022,6,21,LIRM,MIDR0,NA,NA,26.12539,-80.0867,1549643
SEFCRI,3102,1,2022,6,13,LIRM,MIDR0,NA,NA,26.28607,-80.06953,1316138
SEFCRI,3105,1,2022,7,11,LIRM,MIDR0,NA,NA,26.37178,-80.06249,1191511
SEFCRI,3108,1,2022,6,9,LIRM,MIDR1,NA,NA,26.05062,-80.09249,1657872
